article_id,judul,link,source,waktu,konten_score,struktur_score,bahasa_score,etika_score,seo_score,teknis_score,overall_score,verdict,konten_note,etika_note,nada_note,highlights_json,word_count,readability
0,"Viral Isu PHK Buruh Gudang Garam, Said Iqbal: Suplier hingga Pemilik Kontrakan Juga Akan Terdampak",https://nasional.kompas.com/read/2025/09/06/14232881/viral-isu-phk-buruh-gudang-garam-said-iqbal-suplier-hingga-pemilik-kontrakan,kompas,6 September 2025,50,75,80,50,80,100,68,Perlu revisi,,,,[],323,0
1,"Gempa M 5,3 Guncang Pulau Doi Maluku Utara",https://news.detik.com/berita/d-7486691/gempa-m-5-3-guncang-pulau-doi-maluku-utara,detik,"Senin, 12 Agu 2024 21:58 WIB",50,60,80,50,80,100,65,Perlu revisi,,,,[],114,0
2,"Toko Emas Palsu di Riau Dibongkar Polisi, Perhiasan 1,8 Kg Disita",https://news.detik.com/melindungi-tuah-marwah/d-8037655/toko-emas-palsu-di-riau-dibongkar-polisi-perhiasan-1-8-kg-disita,detik,"Rabu, 30 Jul 2025 22:22 WIB",50,75,80,50,80,95,67,Perlu revisi,,,,[],342,0
3,"Minyakita Tak Sesuai Ukuran juga Ditemukan di Kudus, Disita Polda Jateng",https://news.detik.com/berita/d-7816829/minyakita-tak-sesuai-ukuran-juga-ditemukan-di-kudus-disita-polda-jateng,detik,"Senin, 10 Mar 2025 23:15 WIB",50,75,80,50,80,100,68,Perlu revisi,,,,[],245,0
4,"Pimpin LDP, Sanae Takaichi Calon Kuat PM Perempuan Pertama Jepang",https://www.tempo.co/internasional/pimpin-ldp-sanae-takaichi-calon-kuat-pm-perempuan-pertama-jepang-2076205,tempo,4 Oktober 2025 | 14.00 WIB,50,75,80,50,80,95,67,Perlu revisi,,,,[],367,0
5,Gubernur Banten Terpilih Andra Soni Temui Presiden Prabowo di Istana,https://news.detik.com/berita/d-7685816/gubernur-banten-terpilih-andra-soni-temui-presiden-prabowo-di-istana,detik,"Jumat, 13 Des 2024 22:12 WIB",50,75,80,50,80,100,68,Perlu revisi,,,,[],266,0
6,Yusril: Pedemo Ditangkap Polisi karena Lakukan Tindak Pidana,https://www.tempo.co/hukum/yusril-pedemo-ditangkap-polisi-karena-lakukan-tindak-pidana-2073796,tempo,27 September 2025 | 08.29 WIB,50,75,80,50,80,95,67,Perlu revisi,,,,[],331,0
7,"Banjir Besar Landa Jabodetabek, Pimpinan MPR Ingatkan Mitigasi Bencana",https://nasional.kompas.com/read/2025/03/04/22383061/banjir-besar-landa-jabodetabek-pimpinan-mpr-ingatkan-mitigasi-bencana,kompas,4 Maret 2025,60,75,80,95,80,100,77,Layak terbit,"Artikel memenuhi unsur berita dengan narasumber jelas (Eddy Soeparno), data spesifik (117 RT terendam, 8 kecamatan Bekasi), dan konteks kebijakan publik yang relevan. Namun kelemahan utama: seluruh isi bersumber dari siaran pers partai, tidak ada konfirmasi independen dari BNPB, BMKG, atau pemerintah daerah terkait data banjir. Kurangnya sumber lain membuat artikel bersifat satu-sisi (single-source).","Tidak ditemukan masalah etika maupun legal. Pernyataan Eddy Soeparno bersifat kebijakan publik yang sah untuk disampaikan oleh pejabat negara. Tidak ada serangan pribadi, fitnah, atau pelanggaran privasi. Bahasa yang digunakan objektif dan faktual.",Netral-informatif. Artikel relay perspektifyang dibangun dari satu sumber resmi tanpa narasi editorial yang mengarahkan opini pembaca.,"[{""type"":""good"",""text"":""Narasumber teridentifikasi jelas dengan jabatan lengkap (Wakil Ketua MPR RI, Politikus PAN)"",""note"":""Kredibilitas sumber primer terjaga.""},{""type"":""good"",""text"":""Data quantifikatif disebutkan (117 RT, 8 kecamatan, kedalaman air bervariasi)"",""note"":""Memberi kontekstualisasi faktual pada liputan.""},{""type"":""good"",""text"":""Terdapat tanggal dan sumber pernyataan (Selasa, 4/3/2025, siaran pers)"",""note"":""Kelayakan publikasi (newsworthiness) terpenuhi.""},{""type"":""warn"",""text"":""Seluruh isi artikel berasal dari satu sumber (siaran pers partai)"",""note"":""Praktik jurnalisme ideal mengharuskan konfirmasi silang dari pihak independen seperti BNPB, BMKG, atau pemerintah kota.""},{""type"":""warn"",""text"":""Tidak ada suara dari pemerintah daerah terkait (Gub/Plt. DKI atau Bekasi)"",""note"":""Ketimpangan供给 informasi dapat memunculkan kesan sepihak.""}]",253,0
8,Lagu Indonesia Raya Kena Royalti? Istana Menjawab,https://nasional.kompas.com/read/2025/08/15/18222151/lagu-indonesia-raya-kena-royalti-istana-menjawab,kompas,15 Agustus 2025,50,75,80,50,80,100,68,Perlu revisi,,,,[],161,0
9,Remaja Ditindak Polisi di Serpong karena Bawa Mobil Berpelat Asing,https://megapolitan.kompas.com/read/2025/04/29/19304221/remaja-ditindak-polisi-di-serpong-karena-bawa-mobil-berpelat-asing,kompas,29 April 2025,50,75,80,50,80,100,68,Perlu revisi,,,,[],262,0
10,LPSK Siap Berikan Perlindungan Saksi dan Korban Demo di DPR,https://nasional.kompas.com/read/2025/08/30/14290091/lpsk-siap-berikan-perlindungan-saksi-dan-korban-demo-di-dpr,kompas,30 Agustus 2025,50,75,80,50,80,100,68,Perlu revisi,,,,[],314,0
11,Perjuangan Diane Keaton Menghadapi Kanker Kulit dan Bulimia,https://www.tempo.co/gaya-hidup/perjuangan-diane-keaton-menghadapi-kanker-kulit-dan-bulimia-2078899,tempo,12 Oktober 2025 | 22.40 WIB,50,75,80,50,80,95,67,Perlu revisi,,,,[],333,0
12,Kondisi Terkini Kandidat Capres Kolombia Usai Ditembak 2 Kali di Kepala,https://news.detik.com/internasional/d-7959989/kondisi-terkini-kandidat-capres-kolombia-usai-ditembak-2-kali-di-kepala,detik,"Rabu, 11 Jun 2025 22:46 WIB",50,75,80,50,80,100,68,Perlu revisi,,,,[],286,0
13,Tidak Ada Nakes yang Terlibat di Sindikat Perdagangan Bayi di Depok-Bali,https://megapolitan.kompas.com/read/2024/09/18/20525821/tidak-ada-nakes-yang-terlibat-di-sindikat-perdagangan-bayi-di-depok-bali,kompas,18 September 2024,50,75,80,50,80,100,68,Perlu revisi,,,,[],310,5
14,Tiga Warga Dapat Penanganan Medis Akibat Kebakaran di Mangga Besar,https://megapolitan.kompas.com/read/2025/01/25/21561261/tiga-warga-dapat-penanganan-medis-akibat-kebakaran-di-mangga-besar,kompas,25 Januari 2025,50,75,80,50,80,100,68,Perlu revisi,,,,[],254,0
15,Polisi Akan Olah TKP Kebakaran Glodok Plaza Setelah Pembersihan,https://megapolitan.kompas.com/read/2025/02/21/18081981/polisi-akan-olah-tkp-kebakaran-glodok-plaza-setelah-pembersihan,kompas,21 Februari 2025,50,75,80,50,80,100,68,Perlu revisi,,,,[],346,0
16,Polda Riau Tangkap 2 Kurir Jaringan Internasional Penyelundup 44 Kg Sabu,https://news.detik.com/melindungi-tuah-marwah/d-8079151/polda-riau-tangkap-2-kurir-jaringan-internasional-penyelundup-44-kg-sabu,detik,"Senin, 25 Agu 2025 23:17 WIB",85,75,80,92,80,100,84,Layak terbit,"Berita kriminal yang legitimate dengan newsworthiness tinggi karena melibatkan narkoba jaringan internasional dan barang bukti besar (44 kg sabu). Sumber utama adalah pernyataan resmi pejabat polisi (Kombes Putu Yudha Prawira) yang dapat dipertanggungjawabkan. Detail faktual lengkap: tanggal, lokasi, plat nomor kendaraan, inisial dan usia pelaku. Informasi akurat dan kontekstual.","Pemberitaan sudah mengikuti standar jurnalistik yang baik: inisial pelaku digunakan (bukan nama lengkap) untuk melindungi presumption of innocence, tidak ada informasi keluarga atau alamat residence, tidak ada asumsi bersalah sebelum vonis hukum. Tidak ada unsur sensationalism berlebihan atau eksploitasi. Pelaporan faktual dan proporsional.","Pemberitaan straight news yang factual, proporsional, dan bertanggung jawab. Nada formal-informatif, tidak provokatif. Menggunakan struktur piramida terbalik dengan informasi utama di paragraf pembuka.",[],237,0
17,Badai Buntut Perang Iran-Israel,https://www.tempo.co/kolom/dampak-ekonomi-perang-iran-israel-1774656,tempo,22 Juni 2025 | 08.30 WIB,50,60,80,50,80,100,65,Perlu revisi,,,,[],65,0
18,"Guna Mengamankan Barang Bukti, Klinik Milik Dokter Palsu di Cipadu Dipasang Garis Polisi",https://megapolitan.kompas.com/read/2024/09/05/19401371/guna-mengamankan-barang-bukti-klinik-milik-dokter-palsu-di-cipadu,kompas,5 September 2024,50,75,80,50,80,100,68,Perlu revisi,,,,[],319,0
19,Prabowo Minta Legislator Gerindra Jaga Ucapan dan Larang Flexing,https://www.tempo.co/politik/prabowo-minta-legislator-gerindra-jaga-ucapan-dan-larang-flexing-2067824,tempo,8 September 2025 | 23.37 WIB,75,75,80,88,80,95,80,Layak terbit,"Berita straight-forward dengan newsworthiness tinggi karena menyangkut arahan resmi Ketua Umum partai kepada legislatornya. Sumber primer jelas: Sekjen Gerberinda Sugiono dan anggota DPR Ahmad Dhani yang hadir langsung dalam pertemuan tertutup. Informasi faktual tanpa klaim yang perlu diverifikasi. Namun, nilai dibatasi karena substansi reuniõesi cukup umum (larangan flexing, program pemerintah) dan tidak ada konteks analisis mendalam.","Tidak ditemukan masalah etika signifikan. Pemberitaan objektif tanpa fitnah, tuduhan, atau pelanggaran privasi. Semua kutipan dapat diverifikasi dari narasumber yang disebutkan. Bahasa netral dan tidak menghakimi.唯 perlu dicatat bahwa keputusan Sugiono tidak membeberkan substansi lain dari pertemuan dapat dianggap sebagai transparansi terbatas dari sumber.","Netral-informatif. Nada jurnalistik straight news yang straightforward, tidak memihak, dan sesuai SOP peliputan politik.","[{""type"":""good"",""text"":""Sumber kredibel - Sugiono (Sekjen partai) dan Ahmad Dhani (anggota DPR) hadir langsung"",""note"":""Narasumber memiliki legitimasi untuk menyampaikan informasi所涉及的会议内容""},{""type"":""good"",""text"":""Pemberitaan seimbang - menggunakan kutipan langsung dari dua narasumber berbeda"",""note"":""Memberikan sudut pandang dari pihak partai (Sugiono) dan legislator (Dhani)""},{""type"":""warn"",""text"":""Transparansi sumber terbatas - Sugiono sengaja tidak membeberkan substansi lain"",""note"":""Pembaca tidak mendapat gambaran utuh tentang hasil rapat""},{""type"":""good"",""text"":""Tidak ada bias atau opini redaksional yang terang"",""note"":""Artikel murni menyampaikan fakta pernyataan tanpa penafsiran sepihak""},{""type"":""warn"",""text"":""Tidak ada konteks atau analisis mendalam"",""note"":""Hanya memberitakan 'apa' tanpa 'mengapa' atau implikasi dari arahan tersebut""}]",348,0
20,"Ada Aksi Bela Palestina, Polisi Rekayasa Lalin di Sekitar Monas",https://megapolitan.kompas.com/read/2025/05/18/10035981/ada-aksi-bela-palestina-polisi-rekayasa-lalin-di-sekitar-monas,kompas,18 Mei 2025,88,75,80,94,80,100,86,Layak terbit,"Artikel的事实基础充分。作者明确标注了事件发生的时间（2025年5月18日，星期日）、地点（Monas，Jl. Medan Merdeka Selatan）、参与者人数（3,000人）、安全部署力量（662人，其中250人在主要集中点）。采访来源为Wakapolsek Gambir Kompol Dwi Haribowo，引用直接引语，来源可查证。Kompas.com记者现场观察记录交通状况与集会情况。属常规新闻报道，新闻价值在于公共安全与集会信息。",报道保持中立立场，未对巴以冲突进行价值判断，未使用带有倾向性的形容词或隐含偏见。提及'peristiwa Naksa'（灾难日）时使用历史中性表述，无煽动性内容。集会参与者穿着、携带旗帜横幅等细节属客观描述，未刻意强调或贬低。不涉及侵犯个人隐私，受访者为官方人员代表机构发声，符合新闻伦理规范。整篇报道以服务公众知情权与交通安全信息为核心导向，无明显伦理违规。,"Netral-informatif. Nada resmi dan objektif, menggunakan bahasa berita standar tanpa opini redaksi. Fakta disampaikan secara straight-forward tanpa menambahkan elemen emosional.","[{""type"":""good"",""text"":""Sumber atribu jelas – Wakapolsek Gambir Kompol DWI Haribowo dengan pernyataan langsung berserta konteks pengambilan statement."",""note"":""Pencatuman nama, pangkat, dan jabatan resmi narasumber memperkuat kredibilitas dan akuntabilitas informasi.""},{""type"":""good"",""text"":""Data kuantitatif spesifik – 662 personel gabungan, 250 personel fokus utama, 3.000 peserta aksi, pukul 06.00-08.30 WIB."",""note"":""Angka detail membantu pembaca memahami skala operasi keamanan dan demonstrasi secara proporsional.""},{""type"":""good"",""text"":""Pantauan langsung redaksi Kompas.com hingga pukul 09.30 WIB."",""note"":""Reporter berada di lokasi memberikan validasi langsung atas situasi lalu lintas dan kondisi aksi, memperkuat independensi pelaporan.""},{""type"":""good"",""text"":""Tidak memuat opini atau endorse terhadap isu politik yang diperjuangkan demonstran."",""note"":""Fokus artikel pada aspek rekayasa lalu lintas dan keamanan, bukan substansi politik aksi. Ini menjaga netralitas media.""},{""type"":""warn"",""text"":""Tidak ada kesempatan klarifikasi atau tanggapan dari pihak lain (penyelenggara aksi, atau pihak yang kontra)."",""note"":""Sepihak. Meskipun ini tipikal pada artikel breaking news, penyeimbangan suara dari penyelenggara aksi akan memperkuat fairness.""}]",202,0
21,"Pipa Besi Jatuh dari Atas Tol Penjaringan, Kios Warga Rusak",https://megapolitan.kompas.com/read/2025/08/06/22555091/pipa-besi-jatuh-dari-atas-tol-penjaringan-kios-warga-rusak,kompas,6 Agustus 2025,50,75,80,50,80,100,68,Perlu revisi,,,,[],153,0
22,DPR Minta Kejaksaan Kesampingkan Perkara Jovi Demi Kepentingan Umum,https://nasional.kompas.com/read/2024/11/21/18273771/dpr-minta-kejaksaan-kesampingkan-perkara-jovi-demi-kepentingan-umum,kompas,21 November 2024,50,75,80,50,80,100,68,Perlu revisi,,,,[],246,0
23,TNI Ungkap Isi Komunikasi dengan Ferry Irwandi,https://news.detik.com/berita/d-8110772/tni-ungkap-isi-komunikasi-dengan-ferry-irwandi,detik,"Sabtu, 13 Sep 2025 22:51 WIB",50,60,80,50,80,100,65,Perlu revisi,,,,[],328,0
24,Kata Greysia Polii Soal Persaingan dan Regenerasi Pemain Bulu Tangkis Sektor Ganda Putri Indonesia,https://www.tempo.co/olahraga/kata-greysia-polii-soal-persaingan-dan-regenerasi-pemain-bulu-tangkis-sektor-ganda-putri-indonesia-1064524,tempo,11 Oktober 2024 | 06.05 WIB,50,75,80,50,80,95,67,Perlu revisi,,,,[],401,0
25,"Ban Truk Copot Saat Melaju di Cilincing, Hantam Angkot tapi Sopir Tak Sadari",https://megapolitan.kompas.com/read/2025/03/19/22320601/ban-truk-copot-saat-melaju-di-cilincing-hantam-angkot-tapi-sopir-tak,kompas,19 Maret 2025,65,75,80,92,80,100,78,Layak terbit,"Peristiwa aktual dengan informasi dasar cukup lengkap (apa, kapan, di mana, dampak). Namun hanya bersumber dari satu warga tanpa konfirmasi pihak berwenang atau pengemudi angkot. Tidak ada data kendaraan yang jelas sehingga sulit diverifikasi atau ditindaklanjuti.","Tidak ada unsur SARA, fitnah, atau pelanggaran privasi. Identitas sopir tidak dicantumkan (bukan delik umum). Pencarian truk dilakukan secara wajar. Nadanya straight news. Catatan: penyebutan nama warga M Sarip cukup wajar karena ia dipilih sebagai narasumber sukarela.","Straight news netral, kronologis, tanpa opini. Standar pelaporan peristiwa kecelakaan ringan yang lazim.","[{""type"":""good"",""text"":""Pemberitaan cepat (hari yang sama, malam hari)"",""note"":""Relevan dengan waktu kejadian, memenuhi asas kebaruan.""},{""type"":""warn"",""text"":""Hanya satu sumber warga"",""note"":""Idealnya ditambah konfirmasi dari saksi lain, pengemudi angkot, atau pihak police/pengelola truk untuk penguatan fakta.""},{""type"":""warn"",""text"":""Kendaraan penyebab belum teridentifikasi"",""note"":""Tidak ada nomor polisi, nama sopir, atau data kendaraan yang bisa membantu proses identifikasi atau klarifikasi pihak terkait.""}]",135,6
26,Perjuangan Yuda PPSU Jakarta yang Tembus PON 2024: Giat Latihan Sebelum dan Sesudah Kerja,https://megapolitan.kompas.com/read/2024/09/12/16452121/perjuangan-yuda-ppsu-jakarta-yang-tembus-pon-2024-giat-latihan-sebelum,kompas,12 September 2024,50,75,80,50,80,100,68,Perlu revisi,,,,[],271,1
27,"KPU Luncurkan Indeks Partisipasi Pilkada 2024, Ukur Kualitas Demokrasi",https://nasional.kompas.com/read/2025/10/18/14554171/kpu-luncurkan-indeks-partisipasi-pilkada-2024-ukur-kualitas-demokrasi,kompas,18 Oktober 2025,50,75,80,50,80,100,68,Perlu revisi,,,,[],459,0
28,"Banyak Bencana, Cak Imin Beri 3 Pesan Ini untuk Seluruh Kader PKB",https://nasional.kompas.com/read/2025/03/09/20040431/banyak-bencana-cak-imin-beri-3-pesan-ini-untuk-seluruh-kader-pkb,kompas,9 Maret 2025,50,75,80,50,80,100,68,Perlu revisi,,,,[],244,0
29,KPK Tahan 4 Tersangka Kasus Dana Hibah Jatim,https://www.tempo.co/hukum/kpk-tahan-4-tersangka-kasus-dana-hibah-jatim-2075657,tempo,2 Oktober 2025 | 19.59 WIB,50,75,80,50,80,95,67,Perlu revisi,,,,[],470,0
30,"Soal Biaya Seragam SD Rp 1,1 Juta, Disdik Tangsel: Kepala Sekolah Akui Keliru",https://megapolitan.kompas.com/read/2025/07/17/18191811/soal-biaya-seragam-sd-rp-11-juta-disdik-tangsel-kepala-sekolah-akui,kompas,17 Juli 2025,50,75,80,50,80,100,68,Perlu revisi,,,,[],332,0
31,"Dana RT dan RW di Jakarta Akan Naik, Anggota DPRD Desak Kinerja Juga Ditingkatkan",https://megapolitan.kompas.com/read/2025/07/27/05530371/dana-rt-dan-rw-di-jakarta-akan-naik-anggota-dprd-desak-kinerja-juga,kompas,27 Juli 2025,50,75,80,50,80,100,68,Perlu revisi,,,,[],348,0
32,MA Tolak PK Surya Darmadi Dalam Kasus Penyerobotan Lahan,https://nasional.kompas.com/read/2024/09/27/18023161/ma-tolak-pk-surya-darmadi-dalam-kasus-penyerobotan-lahan,kompas,27 September 2024,50,75,80,50,80,100,68,Perlu revisi,,,,[],298,0
33,"Retreat Kepala Daerah Gelombang Kedua Dimulai Hari Ini, Apa Persamaan dan Perbedaannya dengan Sebelumnya?",https://nasional.kompas.com/read/2025/06/22/06361081/retreat-kepala-daerah-gelombang-kedua-dimulai-hari-ini-apa-persamaan-dan,kompas,22 Juni 2025,82,60,80,95,80,100,81,Layak terbit,"Artikel informatif dari Kompas.com dengan sumber kredibel (Wamendagri Bima Arya). Struktur naratif jelas, mencakup konteks gelombang pertama, detail acara (tanggal, lokasi, jumlah peserta, materi). Newsworthy sebagai informasi publik tentang program pemerintahan. Originalitas cukup standar untuk peliputan acara resmi.","Tidak ditemukan indikasi bias, fitnah, atau pelanggaran privasi. Bahasa netral dan objektif. Sumber diatribusikan dengan benar. Tidak ada konten yang berpotensi merugikan pihak tertentu.",Netral-informatif. Nada resmi-media pelaporan acara pemerintahan dengan gaya jurnalistik konvensional.,"[{""type"":""good"",""text"":""Sumber kredibel: Wamendagri Bima Arya"",""note"":""Dikutip langsung dengan lokasi dan tanggal yang jelas (IPDN Jatinangor, 19/6/2025)""},{""type"":""good"",""text"":""Struktur naratif komprehensif"",""note"":""Mencakup latar belakang (gelombang pertama), rincian acara, dan perbedaan/kesamaan""},{""type"":""good"",""text"":""Fakta akurat dan terverifikasi"",""note"":""Tanggal, lokasi, jumlah peserta (87), dan institusi terkait tertera jelas""},{""type"":""warn"",""text"":""Ketergantungan pada satu sumber"",""note"":""Hampir seluruh kutipan dari Bima Arya; perspektif peserta atau pihak lain tidak included""}]",274,0
34,Anggota DPRD DKI Kenneth Usulkan Calon Petugas PPSU Wajib Ber-KTP Jakarta,https://news.detik.com/berita/d-7860065/anggota-dprd-dki-kenneth-usulkan-calon-petugas-ppsu-wajib-ber-ktp-jakarta,detik,"Selasa, 08 Apr 2025 23:11 WIB",50,75,80,50,100,100,70,Perlu revisi,,,,[],755,0
35,Bahlil Klaim Banyak Aspirasi Minta Jokowi Jadi Kader Golkar,https://nasional.kompas.com/read/2024/11/07/19303931/bahlil-klaim-banyak-aspirasi-minta-jokowi-jadi-kader-golkar,kompas,7 November 2024,50,75,80,50,80,100,68,Perlu revisi,,,,[],307,0
36,Gibran Dapat Wejangan dari Jokowi Saat Momen Lebaran,https://news.detik.com/berita/d-7851458/gibran-dapat-wejangan-dari-jokowi-saat-momen-lebaran,detik,"Selasa, 01 Apr 2025 20:50 WIB",50,75,80,50,80,100,68,Perlu revisi,,,,[],162,9
37,Atnike Nova Sigiro: Penegakan HAM Tak Bisa Didasari Manuver Politik,https://www.tempo.co/wawancara/penegakan-ham-prabowo-subianto-1168695,tempo,17 November 2024 | 08.30 WIB,50,60,80,50,80,100,65,Perlu revisi,,,,[],97,0
38,Kata Fitra Eri soal Dipanggil Kejagung Terkait Kasus Tata Kelola Minyak,https://news.detik.com/berita/d-7809030/kata-fitra-eri-soal-dipanggil-kejagung-terkait-kasus-tata-kelola-minyak,detik,"Rabu, 05 Mar 2025 22:55 WIB",50,75,80,50,80,100,68,Perlu revisi,,,,[],368,0
39,Perjalanan Toleransi dalam Naskah Tua,https://www.tempo.co/arsip/perjalanan-toleransi-indonesia-457171,tempo,8 September 2024 | 00.00 WIB,50,60,80,50,80,100,65,Perlu revisi,,,,[],86,0
